prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
134, 239	2	134	0, 1	1	0.69014084507	0.992175273865	79	74	560
134, 26	2	134	0, 1	1	0.69014084507	0.992175273865	80	75	559
134, 281	2	134	0, 1	1	0.69014084507	1.0	80	80	559
134, 29	2	134	0, 1	1	0.69014084507	1.0	85	85	554
134, 297	2	134	0, 1	1	0.69014084507	0.992175273865	51	46	588
134, 298	2	134	0, 1	1	0.69014084507	0.990610328638	86	80	553
134, 304	2	134	0, 1	1	0.69014084507	1.0	92	92	547
134, 314	2	134	0, 1	1	0.69014084507	1.0	87	87	552
134, 333	2	134	0, 1	1	0.69014084507	1.0	94	94	545
134, 339	2	134	0, 1	1	0.69014084507	0.993740219092	81	77	558
134, 346	2	134	0, 0	1	0.699530516432	0.992175273865	49	44	590
134, 362	2	134	0, 1	1	0.69014084507	0.990610328638	86	80	553
134, 372	2	134	0, 0	1	0.729264475743	1.0	58	58	581
134, 374	2	134	0, 0	1	0.723004694836	0.995305164319	60	57	579
134, 375	2	134	0, 1	1	0.69014084507	0.992175273865	81	76	558
134, 51	2	134	0, 0	1	0.746478873239	1.0	69	69	570
134, 53	2	134	0, 1	1	0.69014084507	1.0	81	81	558
134, 62	2	134	0, 0	1	0.727699530516	0.990610328638	69	63	570
153, 110	2	153	0, 1	1	0.677621283255	1.0	71	71	568
153, 115	2	153	0, 1	1	0.677621283255	0.992175273865	75	70	564
153, 134	2	153	0, 0	1	0.729264475743	1.0	58	58	581
153, 159	2	153	0, 1	1	0.677621283255	0.995305164319	66	63	573
153, 17	2	153	0, 1	1	0.677621283255	0.993740219092	70	66	569
153, 176	2	153	0, 0	1	0.721439749609	1.0	53	53	586
153, 178	2	153	0, 0	1	0.721439749609	1.0	53	53	586
153, 198	2	153	0, 0	1	0.715179968701	0.992175273865	59	54	580
153, 224	2	153	0, 1	1	0.677621283255	0.993740219092	72	68	567
153, 239	2	153	0, 1	1	0.677621283255	0.992175273865	71	66	568
153, 26	2	153	0, 1	1	0.677621283255	0.992175273865	72	67	567
153, 281	2	153	0, 1	1	0.677621283255	1.0	72	72	567
153, 29	2	153	0, 1	1	0.677621283255	1.0	77	77	562
153, 298	2	153	0, 1	1	0.677621283255	0.990610328638	78	72	561
153, 304	2	153	0, 1	1	0.677621283255	1.0	84	84	555
153, 314	2	153	0, 1	1	0.677621283255	1.0	79	79	560
153, 32	2	153	0, 1	1	0.677621283255	0.992175273865	72	67	567
153, 333	2	153	0, 1	1	0.677621283255	1.0	86	86	553
153, 339	2	153	0, 1	1	0.677621283255	0.993740219092	73	69	566
153, 346	2	153	0, 0	1	0.713615023474	0.992175273865	58	53	581
153, 362	2	153	0, 1	1	0.677621283255	0.990610328638	78	72	561
153, 372	2	153	0, 0	1	0.716744913928	1.0	50	50	589
153, 374	2	153	0, 0	1	0.712050078247	0.995305164319	53	50	586
153, 375	2	153	0, 1	1	0.677621283255	0.992175273865	73	68	566
153, 51	2	153	0, 0	1	0.733959311424	1.0	61	61	578
153, 53	2	153	0, 1	1	0.677621283255	1.0	73	73	566
153, 55	2	153	0, 1	1	0.677621283255	1.0	66	66	573
153, 62	2	153	0, 0	1	0.718309859155	0.990610328638	63	57	576
153, 96	2	153	0, 1	1	0.677621283255	0.990610328638	73	67	566
176, 110	2	176	0, 1	1	0.682316118936	1.0	74	74	565
