prefix	length	first	prediction	default	accuracy	upper_bound	num_captured	num_captured_correct	num_not_captured
134, 51, 19	3	134	0, 0, 1	1	0.746478873239	1.0	125	125	514
134, 51, 281	3	134	0, 0, 1	1	0.746478873239	1.0	116	116	523
134, 51, 29	3	134	0, 0, 1	1	0.746478873239	1.0	121	121	518
134, 51, 304	3	134	0, 0, 1	1	0.746478873239	1.0	128	128	511
134, 51, 314	3	134	0, 0, 1	1	0.746478873239	1.0	123	123	516
134, 51, 333	3	134	0, 0, 1	1	0.746478873239	1.0	130	130	509
134, 51, 53	3	134	0, 0, 1	1	0.746478873239	1.0	117	117	522
153, 55, 110	3	153	0, 1, 1	1	0.677621283255	1.0	112	112	527
153, 55, 29	3	153	0, 1, 1	1	0.677621283255	1.0	118	118	521
153, 55, 304	3	153	0, 1, 1	1	0.677621283255	1.0	114	114	525
153, 55, 314	3	153	0, 1, 1	1	0.677621283255	1.0	120	120	519
153, 55, 333	3	153	0, 1, 1	1	0.677621283255	1.0	117	117	522
153, 55, 53	3	153	0, 1, 1	1	0.677621283255	1.0	103	103	536
176, 110, 178	3	176	0, 1, 0	1	0.72613458529	1.0	102	102	537
176, 110, 51	3	176	0, 1, 0	1	0.738654147105	1.0	110	110	529
176, 153, 110	3	176	0, 0, 1	1	0.721439749609	1.0	99	99	540
176, 153, 178	3	176	0, 0, 0	1	0.765258215962	1.0	81	81	558
176, 153, 19	3	176	0, 0, 1	1	0.721439749609	1.0	109	109	530
176, 153, 281	3	176	0, 0, 1	1	0.721439749609	1.0	100	100	539
176, 153, 29	3	176	0, 0, 1	1	0.721439749609	1.0	105	105	534
176, 153, 304	3	176	0, 0, 1	1	0.721439749609	1.0	112	112	527
176, 153, 314	3	176	0, 0, 1	1	0.721439749609	1.0	107	107	532
176, 153, 333	3	176	0, 0, 1	1	0.721439749609	1.0	114	114	525
176, 153, 51	3	176	0, 0, 0	1	0.777777777778	1.0	89	89	550
176, 153, 53	3	176	0, 0, 1	1	0.721439749609	1.0	101	101	538
176, 153, 55	3	176	0, 0, 1	1	0.721439749609	1.0	94	94	545
176, 51, 19	3	176	0, 0, 1	1	0.738654147105	1.0	120	120	519
176, 51, 3	3	176	0, 0, 1	1	0.738654147105	1.0	115	115	524
176, 51, 331	3	176	0, 0, 1	1	0.738654147105	1.0	105	105	534
176, 51, 333	3	176	0, 0, 1	1	0.738654147105	1.0	125	125	514
176, 51, 53	3	176	0, 0, 1	1	0.738654147105	1.0	112	112	527
178, 153, 110	3	178	0, 0, 1	1	0.721439749609	1.0	99	99	540
178, 153, 304	3	178	0, 0, 1	1	0.721439749609	1.0	112	112	527
178, 153, 314	3	178	0, 0, 1	1	0.721439749609	1.0	107	107	532
178, 153, 333	3	178	0, 0, 1	1	0.721439749609	1.0	114	114	525
178, 153, 55	3	178	0, 0, 1	1	0.721439749609	1.0	94	94	545
178, 176, 19	3	178	0, 0, 1	1	0.72613458529	1.0	112	112	527
178, 176, 29	3	178	0, 0, 1	1	0.72613458529	1.0	108	108	531
178, 176, 304	3	178	0, 0, 1	1	0.72613458529	1.0	115	115	524
178, 176, 333	3	178	0, 0, 1	1	0.72613458529	1.0	117	117	522
178, 176, 351	3	178	0, 0, 1	1	0.72613458529	1.0	101	101	538
178, 51, 110	3	178	0, 0, 1	1	0.738654147105	1.0	110	110	529
178, 51, 176	3	178	0, 0, 0	1	0.782472613459	1.0	92	92	547
178, 51, 19	3	178	0, 0, 1	1	0.738654147105	1.0	120	120	519
178, 51, 29	3	178	0, 0, 1	1	0.738654147105	1.0	116	116	523
178, 51, 314	3	178	0, 0, 1	1	0.738654147105	1.0	118	118	521
178, 51, 333	3	178	0, 0, 1	1	0.738654147105	1.0	125	125	514
178, 51, 53	3	178	0, 0, 1	1	0.738654147105	1.0	112	112	527
281, 110, 153	3	281	1, 1, 0	0	0.691705790297	1.0	118	118	521
281, 110, 176	3	281	1, 1, 0	0	0.696400625978	1.0	121	121	518
281, 110, 178	3	281	1, 1, 0	0	0.696400625978	1.0	121	121	518
281, 110, 303	3	281	1, 1, 0	0	0.704225352113	1.0	126	126	513
281, 110, 51	3	281	1, 1, 0	0	0.708920187793	1.0	129	129	510
281, 134, 178	3	281	1, 0, 0	1	0.733959311424	1.0	108	108	531
281, 134, 19	3	281	1, 0, 1	1	0.69014084507	1.0	135	135	504
281, 134, 29	3	281	1, 0, 1	1	0.69014084507	1.0	131	131	508
281, 134, 304	3	281	1, 0, 1	1	0.69014084507	1.0	139	139	500
281, 134, 333	3	281	1, 0, 1	1	0.69014084507	1.0	141	141	498
281, 134, 53	3	281	1, 0, 1	1	0.69014084507	1.0	127	127	512
281, 153, 178	3	281	1, 0, 0	1	0.721439749609	1.0	100	100	539
281, 153, 55	3	281	1, 0, 1	1	0.677621283255	1.0	104	104	535
281, 176, 178	3	281	1, 0, 0	1	0.72613458529	1.0	103	103	536
281, 51, 153	3	281	1, 0, 0	1	0.733959311424	1.0	108	108	531
281, 51, 176	3	281	1, 0, 0	1	0.738654147105	1.0	111	111	528
281, 51, 178	3	281	1, 0, 0	1	0.738654147105	1.0	111	111	528
304, 110, 100	3	304	1, 1, 0	0	0.738654147105	1.0	136	136	503
304, 110, 121	3	304	1, 1, 0	0	0.737089201878	1.0	135	135	504
304, 110, 125	3	304	1, 1, 0	0	0.732394366197	1.0	132	132	507
304, 110, 153	3	304	1, 1, 0	0	0.729264475743	1.0	130	130	509
304, 110, 176	3	304	1, 1, 0	0	0.733959311424	1.0	133	133	506
304, 110, 178	3	304	1, 1, 0	0	0.733959311424	1.0	133	133	506
304, 110, 313	3	304	1, 1, 0	0	0.741784037559	1.0	138	138	501
304, 110, 325	3	304	1, 1, 0	0	0.763693270736	1.0	152	152	487
304, 110, 353	3	304	1, 1, 0	0	0.73082942097	1.0	131	131	508
304, 110, 374	3	304	1, 1, 0	0	0.73082942097	1.0	131	131	508
304, 110, 51	3	304	1, 1, 0	0	0.746478873239	1.0	141	141	498
304, 110, 65	3	304	1, 1, 0	0	0.733959311424	1.0	133	133	506
304, 134, 178	3	304	1, 0, 0	1	0.733959311424	1.0	120	120	519
304, 134, 19	3	304	1, 0, 1	1	0.69014084507	1.0	148	148	491
304, 134, 29	3	304	1, 0, 1	1	0.69014084507	1.0	144	144	495
304, 134, 53	3	304	1, 0, 1	1	0.69014084507	1.0	140	140	499
304, 19, 110	3	304	1, 1, 1	0	0.79186228482	1.0	160	160	479
304, 19, 153	3	304	1, 1, 0	0	0.760563380282	1.0	140	140	499
304, 19, 176	3	304	1, 1, 0	0	0.765258215962	1.0	143	143	496
